,ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,per_unit,call_put,exercise_price,maturity_date,s_month,equities_close,maturity_time,iv,value,vega
75,10001628.SH,20190102,SSE,0.0543,0.0543,0.0506,0.0638,0.0494,0.0611,0.0611,0.2114,1203901.0,5438.0,10000.0,-1,2.2,20190327,201903,2.255,0.23013698630136986,0.20682421709618465,0.015895434873273606,0.6225745573277561
76,10001518.SH,20190102,SSE,0.41,0.3918,0.3906,0.4229,0.3906,0.41600000000000004,0.441,0.0273,1142667.87,1192.0,10202.0,-1,2.696,20190626,201906,2.255,0.4794520547945205,7.888609052210118e-31,0.40857041960098006,0.20082913442870534
77,10001510.SH,20190102,SSE,0.1301,0.1301,0.1268,0.1445,0.1265,0.1405,0.1405,0.0352,496584.39,1792.0,10202.0,-1,2.303,20190626,201906,2.255,0.4794520547945205,0.1940763696204288,0.08183344269960502,0.754567055269038
78,10001584.SH,20190102,SSE,0.0374,0.0374,0.0381,0.0394,0.0271,0.028999999999999998,0.028999999999999998,0.2985,892187.0,8975.0,10000.0,1,2.5,20190327,201903,2.255,0.23013698630136986,0.24141230676984454,-0.03715588966478034,0.36370393652846045
79,10001561.SH,20190102,SSE,0.0773,0.0773,0.0801,0.0838,0.0522,0.0572,0.0572,8.3008,49589372.0,52506.0,10000.0,1,2.25,20190123,201901,2.255,0.057534246575342465,0.2507652486013806,0.024744960748860345,0.2793556860140804
80,10001645.SH,20190102,SSE,0.2866,0.2866,0.2918,0.2918,0.2547,0.2614,0.2605,0.0554,1466053.0,880.0,10000.0,1,2.1,20190626,201906,2.255,0.4794520547945205,0.27942277501882884,0.16808774566843288,1.1316097137058714
81,10001626.SH,20190102,SSE,0.0225,0.0225,0.0195,0.0288,0.0177,0.0266,0.0266,7.6719,18975461.0,70347.0,10000.0,-1,2.2,20190123,201901,2.255,0.057534246575342465,0.23360531554412345,-0.00502913097776525,0.2909588737110391
82,10001527.SH,20190102,SSE,0.0502,0.0502,0.0513,0.055,0.0317,0.0339,0.0339,1.4422,5433243.43,10131.0,10202.0,1,2.303,20190123,201901,2.255,0.057534246575342465,0.2481121353241525,-0.0010495124682510237,0.2673076689990411
83,10001564.SH,20190102,SSE,0.019,0.019,0.0196,0.0208,0.011000000000000001,0.0112,0.0112,7.9206,10394901.0,148364.0,10000.0,1,2.4,20190123,201901,2.255,0.057534246575342465,0.25176154459307076,-0.04252396998355645,0.2460064275616362
84,10001659.SH,20190102,SSE,0.06,0.06,0.0573,0.0713,0.0526,0.066,0.066,0.7263,4693396.0,3690.0,10000.0,-1,2.25,20190227,201902,2.255,0.15342465753424658,0.19977357638849758,0.031017824371638802,0.4653848917145237
85,10001653.SH,20190102,SSE,0.0411,0.0411,0.0427,0.0437,0.0271,0.0286,0.0286,0.6702,2031912.0,6619.0,10000.0,1,2.4,20190227,201902,2.255,0.15342465753424658,0.2210504262593101,-0.02356870669622879,0.376696849140272
86,10001432.SH,20190102,SSE,0.361,0.349,0.3505,0.3822,0.3505,0.3766,0.392,0.0394,1489911.3,2217.0,10202.0,-1,2.647,20190327,201903,2.255,0.23013698630136986,7.888609052210118e-31,0.3303809964947877,0.26278964227236806
87,10001565.SH,20190102,SSE,0.0113,0.0113,0.0113,0.0119,0.0059,0.0062,0.0062,5.0086,3628833.0,129124.0,10000.0,1,2.45,20190123,201901,2.255,0.057534246575342465,0.2580908456652734,-0.061155639557097796,0.23543669075450802
